"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"1","100","SPEI",1993-05-21,"TLM",1,66.6,44.5,NA,NA,NA,0,NA,"1993"
"2","100","SPEI",1993-05-21,"TLM",2,68,45.8,NA,NA,NA,NA,NA,"1993"
"3","100","SPEI",1993-05-21,"TLM",3,67.9,45.9,NA,NA,NA,NA,NA,"1993"
"4","100","SPEI",1993-05-31,"TLM",4,69.7,46.7,NA,NA,NA,NA,NA,"1993"
"5","100","SPEI",1993-05-31,"TLM",5,67.5,46.2,NA,NA,NA,NA,NA,"1993"
"6","100","SPEI",1993-05-31,"TLM",6,64.2,45.2,NA,NA,NA,NA,NA,"1993"
"7","106","SPEI",1993-05-24,"TLM",1,64.6,45.1,NA,NA,NA,NA,NA,"1993"
"8","106","SPEI",1993-05-24,"TLM",2,63.6,44,NA,NA,NA,NA,NA,"1993"
"9","106","SPEI",1993-05-24,"TLM",3,66.8,44.5,NA,NA,NA,NA,NA,"1993"
"10","106","SPEI",1993-05-24,"TLM",4,67.1,43.8,NA,NA,NA,NA,NA,"1993"
"11","107","SPEI",1993-05-25,"TLM",1,67.7,46.4,NA,NA,NA,NA,NA,"1993"
"12","107","SPEI",1993-05-25,"TLM",2,67.6,46.9,NA,NA,NA,NA,NA,"1993"
"13","107","SPEI",1993-05-25,"TLM",3,68.8,46.8,NA,NA,NA,NA,NA,"1993"
"14","107","SPEI",1993-05-25,"TLM",4,68.6,46.1,NA,NA,NA,NA,NA,"1993"
"15","107","SPEI",1993-05-25,"TLM",5,71.5,45.9,NA,NA,NA,NA,NA,"1993"
"16","107","SPEI",1993-05-25,"TLM",6,72.9,45.2,NA,NA,NA,NA,NA,"1993"
"17","109","SPEI",1993-05-27,"TLM",1,64.7,44.5,NA,NA,NA,NA,NA,"1993"
"18","109","SPEI",1993-05-27,"TLM",2,71,45.8,NA,NA,NA,NA,NA,"1993"
"19","109","SPEI",1993-05-27,"TLM",3,70.3,45.7,NA,NA,NA,NA,NA,"1993"
"20","109","SPEI",1993-05-27,"TLM",4,68.6,45.1,NA,NA,NA,NA,NA,"1993"
"21","109","SPEI",1993-05-27,"TLM",5,68.9,46.5,NA,NA,NA,NA,NA,"1993"
"22","110","SPEI",1993-05-28,"TLM",1,66.9,45.9,NA,NA,NA,NA,NA,"1993"
"23","110","SPEI",1993-05-28,"TLM",2,66,45.4,NA,NA,NA,NA,NA,"1993"
"24","110","SPEI",1993-05-28,"TLM",3,65,45.1,NA,NA,NA,NA,NA,"1993"
"25","110","SPEI",1993-05-28,"TLM",4,66.6,44.9,NA,NA,NA,NA,NA,"1993"
"26","110","SPEI",1993-05-28,"TLM",5,64.6,44.1,NA,NA,NA,NA,NA,"1993"
"27","113","SPEI",1993-05-30,"TLM",1,70.6,43.7,NA,NA,NA,NA,NA,"1993"
"28","113","SPEI",1993-05-30,"TLM",2,71.6,45.7,NA,NA,NA,NA,NA,"1993"
"29","113","SPEI",1993-05-30,"TLM",3,68.4,45.6,NA,NA,NA,NA,NA,"1993"
"30","113","SPEI",1993-05-30,"TLM",4,69.2,45.3,NA,NA,NA,NA,NA,"1993"
"31","113","SPEI",1993-05-30,"TLM",5,67.1,45.3,NA,NA,NA,NA,NA,"1993"
"32","113","SPEI",1993-05-30,"TLM",6,68.2,45.7,NA,NA,NA,NA,NA,"1993"
"33","117","SPEI",1993-05-30,"TLM",1,66.7,48.3,NA,NA,NA,NA,NA,"1993"
"34","117","SPEI",1993-05-30,"TLM",2,68.7,46.1,NA,NA,NA,NA,NA,"1993"
